Field of Study;Age;Gender;Education Level;Years of Experience;Family Influence
Education;51;Male;Bachelor's;17;High
Arts;32;Male;PhD;25;None
Business;27;Female;PhD;34;None
Psychology;37;Male;PhD;14;High
Business;23;Male;Bachelor's;20;Medium
Computer Science;20;Female;PhD;36;Low
Economics;37;Female;Master's;32;High
Law;54;Female;High School;17;Low
Business;51;Female;PhD;13;High
Education;28;Male;High School;35;None
Education;30;Male;High School;39;Medium
Business;25;Female;PhD;3;None
Business;49;Female;High School;3;Medium
Biology;39;Male;Bachelor's;15;None
Mechanical Engineering;40;Female;High School;3;None
Mechanical Engineering;54;Female;Bachelor's;9;None
Psychology;42;Female;Bachelor's;6;Low
Mechanical Engineering;44;Male;PhD;36;Low
Education;54;Female;High School;30;High
Education;31;Male;High School;7;High
Computer Science;48;Male;Bachelor's;28;High
Mechanical Engineering;37;Male;High School;30;High
Arts;28;Male;High School;8;Low
Biology;21;Female;PhD;13;High
Arts;33;Male;PhD;25;Medium
Education;44;Female;PhD;12;High
Computer Science;27;Male;PhD;17;Medium
Law;59;Male;Master's;15;None
Economics;55;Female;Bachelor's;23;Low
Education;40;Male;High School;2;None
Biology;54;Female;Bachelor's;33;Medium
Arts;37;Male;Master's;36;Low
Medicine;34;Male;Bachelor's;35;Medium
Computer Science;31;Male;Bachelor's;9;Low
Education;52;Female;Bachelor's;31;High
Arts;27;Female;PhD;5;None
Medicine;21;Female;Master's;33;Medium
Biology;58;Female;Bachelor's;20;High
Arts;41;Female;PhD;3;Low
Medicine;46;Male;Bachelor's;33;None
Education;54;Female;Bachelor's;4;None
Mechanical Engineering;56;Female;Master's;10;High
Computer Science;30;Male;PhD;12;Medium
Economics;36;Male;High School;20;Medium
Arts;32;Female;PhD;21;None
Computer Science;59;Male;Bachelor's;39;Low
Computer Science;32;Female;Bachelor's;3;None
Medicine;24;Male;Bachelor's;32;Low
Mechanical Engineering;35;Female;Master's;29;High
Education;29;Male;PhD;2;Medium
Law;46;Female;PhD;5;None
Economics;50;Female;PhD;22;High
Arts;21;Male;High School;23;High
Psychology;21;Female;Master's;37;High
Law;58;Female;Bachelor's;8;None
Biology;35;Male;Bachelor's;31;Medium
Medicine;42;Female;Bachelor's;28;Low
Computer Science;58;Female;High School;8;Low
Mechanical Engineering;42;Male;High School;15;High
Business;50;Female;Master's;15;Medium
Law;50;Male;High School;25;None
Psychology;54;Female;High School;26;None
Biology;41;Female;High School;12;Medium
Arts;57;Male;PhD;9;High
Computer Science;20;Male;Master's;25;None
Education;33;Female;Bachelor's;38;None
Education;35;Male;PhD;4;Medium
Biology;35;Female;High School;34;Medium
Psychology;27;Male;Master's;28;Low
Law;30;Male;PhD;19;High
Medicine;57;Male;Bachelor's;7;High
Business;29;Male;Master's;6;Medium
Biology;31;Male;Bachelor's;25;Medium
Computer Science;56;Male;PhD;24;None
Psychology;48;Male;Master's;35;Low
Education;59;Female;High School;28;High
Arts;58;Female;Master's;35;Low
Psychology;51;Female;High School;19;Medium
Arts;49;Male;High School;20;Medium
Mechanical Engineering;30;Female;Master's;12;None
Mechanical Engineering;23;Female;Master's;8;High
Medicine;39;Female;Bachelor's;1;High
Law;53;Male;Bachelor's;20;High
Business;40;Female;High School;35;High
Computer Science;26;Male;Master's;9;Low
Computer Science;33;Female;High School;5;High
Education;49;Female;PhD;37;Low
Arts;27;Male;Bachelor's;9;Medium
Medicine;43;Male;Master's;8;Low
Computer Science;48;Male;Master's;36;None
Computer Science;44;Male;High School;17;None
Arts;30;Female;High School;27;High
Business;25;Female;PhD;39;High
Computer Science;51;Female;Bachelor's;22;Low
Education;42;Female;Master's;0;Medium
Arts;28;Female;Bachelor's;1;Medium
Arts;55;Female;High School;8;High
Business;57;Female;Master's;11;Low
Computer Science;53;Male;PhD;13;None
Economics;39;Female;Master's;10;Low
Arts;26;Male;Master's;20;Medium
Law;54;Male;Master's;24;High
Education;49;Male;PhD;21;High
Computer Science;45;Female;PhD;38;None
Mechanical Engineering;57;Female;Master's;4;Medium
Computer Science;39;Female;PhD;10;Low
Economics;47;Male;Bachelor's;22;Low
Arts;25;Male;Bachelor's;23;Low
Arts;46;Female;High School;20;Medium
Education;34;Female;Master's;29;Low
Education;23;Male;Bachelor's;25;Medium
Computer Science;48;Female;Master's;6;Low
Law;50;Male;PhD;1;High
Medicine;54;Male;Bachelor's;19;Low
Biology;21;Male;PhD;26;Medium
Economics;55;Female;Master's;1;None
Computer Science;48;Female;Master's;8;High
Psychology;52;Female;Bachelor's;12;Low
Arts;52;Female;PhD;14;None
Mechanical Engineering;56;Male;High School;1;None
Economics;29;Female;PhD;12;Medium
Mechanical Engineering;54;Female;High School;33;Medium
Psychology;46;Female;High School;22;Low
Medicine;21;Male;PhD;35;Medium
Business;50;Female;Master's;29;None
Economics;25;Male;High School;22;Medium
Economics;25;Female;High School;22;Medium
Biology;45;Female;Master's;33;High
Law;40;Female;High School;10;None
Biology;50;Male;PhD;34;High
Business;53;Male;PhD;4;Medium
Computer Science;52;Female;High School;4;High
Law;44;Female;Bachelor's;10;High
Arts;43;Male;Master's;24;None
Business;34;Female;High School;29;High
Law;25;Male;Bachelor's;33;None
Business;43;Female;Master's;35;None
Business;28;Male;PhD;26;None
Arts;42;Female;Bachelor's;7;None
Business;55;Male;Master's;3;High
Economics;53;Male;High School;13;High
Arts;23;Male;High School;4;None
Computer Science;32;Female;PhD;18;Medium
Psychology;32;Male;High School;0;Medium
Mechanical Engineering;30;Male;Master's;21;Medium
Computer Science;34;Male;High School;6;Low
Business;53;Female;Master's;5;Medium
Economics;56;Male;Bachelor's;28;High
Biology;20;Male;PhD;3;Low
Business;48;Female;Bachelor's;30;High
Psychology;39;Male;Bachelor's;2;High
Economics;22;Male;PhD;1;None
Education;48;Female;Bachelor's;7;Low
Education;32;Female;Bachelor's;9;High
Mechanical Engineering;25;Male;Bachelor's;26;Low
Psychology;47;Male;High School;32;Low
Arts;43;Male;PhD;11;Low
Psychology;47;Male;Master's;37;Low
Economics;48;Female;Master's;25;Low
Arts;25;Female;Bachelor's;16;High
Medicine;49;Male;PhD;12;Low
Computer Science;50;Male;High School;6;High
Biology;46;Female;PhD;7;None
Law;51;Male;High School;7;Medium
Psychology;48;Female;PhD;29;High
Business;48;Male;Master's;4;Medium
Business;26;Female;Master's;29;Low
Arts;36;Male;Bachelor's;13;None
Biology;22;Female;High School;10;Medium
Medicine;26;Male;PhD;24;High
Education;57;Female;PhD;27;Medium
Psychology;33;Female;PhD;14;Low
Business;25;Female;Master's;20;Low
Psychology;37;Female;Bachelor's;2;Low
Medicine;29;Female;High School;30;Low
Psychology;34;Female;PhD;12;High
Economics;36;Male;PhD;2;Medium
Biology;50;Male;Bachelor's;32;None
Education;44;Female;High School;3;Low
Arts;20;Female;Master's;20;Low
Psychology;41;Female;Bachelor's;7;High
Mechanical Engineering;51;Female;Bachelor's;2;High
Arts;55;Female;PhD;29;Low
Economics;40;Female;High School;1;High
Arts;21;Male;Bachelor's;4;Low
Mechanical Engineering;56;Male;High School;15;Medium
Business;50;Male;High School;34;None
Law;39;Female;Master's;12;High
Biology;20;Male;Bachelor's;5;High
Economics;48;Male;Bachelor's;8;None
Education;48;Female;High School;23;None
Mechanical Engineering;50;Male;Bachelor's;14;High
Arts;36;Female;Bachelor's;8;Low
Law;42;Female;Master's;16;None
Arts;54;Male;Master's;29;None
Education;43;Female;PhD;17;Low
Computer Science;22;Female;Bachelor's;36;High
Law;41;Female;Bachelor's;12;Low
Economics;36;Male;Master's;39;Medium
Economics;21;Male;PhD;30;Low
Economics;57;Male;PhD;4;Medium
Biology;52;Male;PhD;17;Low
Medicine;36;Male;Bachelor's;25;Low
Economics;39;Male;High School;6;High
Computer Science;57;Female;PhD;11;Low
Economics;59;Female;PhD;2;None
Arts;32;Male;Master's;36;Low
Biology;56;Male;PhD;1;None
Education;27;Male;Bachelor's;19;Low
Computer Science;44;Female;Master's;11;Medium
Education;54;Female;PhD;11;Medium
Medicine;28;Female;Bachelor's;37;None
Computer Science;50;Female;Master's;28;Medium
Business;27;Male;Master's;28;High
Business;33;Male;Bachelor's;13;Low
Psychology;31;Female;PhD;27;Low
Medicine;24;Female;PhD;31;Low
Economics;29;Female;Master's;37;Medium
Medicine;47;Male;Master's;35;None
Mechanical Engineering;20;Male;PhD;25;Low
Medicine;31;Male;Bachelor's;28;High
Law;57;Male;Bachelor's;29;Medium
Psychology;34;Female;High School;22;None
Biology;40;Female;High School;33;None
Medicine;34;Female;PhD;6;Low
Psychology;46;Female;PhD;12;None
Economics;52;Male;PhD;4;Low
Biology;22;Male;Bachelor's;19;Medium
Economics;58;Female;Master's;32;Low
Psychology;59;Male;Master's;36;High
Arts;38;Female;Master's;29;Medium
Business;34;Male;PhD;16;None
Law;26;Male;High School;26;None
Medicine;51;Female;Master's;36;High
Arts;28;Female;PhD;23;Low
Economics;30;Male;Bachelor's;29;Medium
Psychology;49;Male;Bachelor's;2;Low
Arts;54;Male;Master's;27;High
Business;40;Female;Bachelor's;22;High
Medicine;42;Female;Master's;37;High
Business;31;Female;Master's;11;Medium
Economics;21;Female;PhD;34;High
Economics;43;Male;Master's;16;Low
Economics;47;Male;Master's;14;None
Psychology;41;Male;High School;13;High
Medicine;32;Male;Master's;8;Medium
Arts;25;Male;PhD;15;Low
Law;27;Male;Bachelor's;32;Low
Biology;47;Male;PhD;27;High
Business;22;Male;PhD;4;Medium
Business;34;Male;PhD;16;None
Medicine;20;Male;High School;3;Medium
Law;52;Male;High School;16;Medium
Psychology;35;Male;Bachelor's;27;High
Biology;37;Female;Bachelor's;3;High
Psychology;45;Female;Bachelor's;7;Medium
Economics;31;Female;High School;30;Low
Business;32;Female;PhD;27;Medium
Biology;45;Female;PhD;14;Low
Law;57;Male;High School;34;Low
Biology;31;Male;Master's;0;Low
Arts;48;Male;Master's;22;Medium
Computer Science;57;Female;PhD;13;None
Arts;21;Male;High School;22;Low
Computer Science;31;Female;Master's;25;Low
Business;47;Female;PhD;17;High
Psychology;42;Male;PhD;37;Low
Psychology;42;Male;PhD;37;Low
Mechanical Engineering;28;Male;PhD;22;High
Biology;53;Male;High School;6;High
Arts;20;Male;Master's;30;None
Education;48;Male;PhD;3;Low
Medicine;56;Female;PhD;25;High
Law;53;Female;PhD;33;Low
Law;20;Female;PhD;13;Medium
Medicine;28;Female;Bachelor's;5;Medium
Business;32;Male;High School;29;None
Medicine;27;Male;PhD;4;Medium
Computer Science;49;Male;PhD;12;None
Law;24;Male;Master's;9;Medium
Arts;34;Female;Bachelor's;30;Medium
Psychology;24;Female;PhD;5;Low
Psychology;55;Female;Master's;34;Low
Law;31;Male;High School;13;Medium
Education;57;Male;Master's;4;None
Mechanical Engineering;39;Female;High School;32;Medium
Business;20;Female;PhD;26;Low
Business;26;Male;Bachelor's;32;Medium
Law;39;Female;PhD;21;High
Arts;42;Female;Master's;15;None
Arts;39;Female;Bachelor's;14;Medium
Biology;35;Male;Bachelor's;34;High
Arts;59;Male;Master's;2;High
Education;27;Male;High School;38;High
Law;22;Female;High School;34;High
Education;34;Male;Master's;17;Medium
Education;41;Female;High School;35;None
Computer Science;59;Male;High School;31;None
Medicine;51;Male;High School;25;High
Biology;37;Female;PhD;3;None
Psychology;30;Female;Master's;33;None
Psychology;52;Male;PhD;32;None
Economics;35;Male;PhD;14;High
Psychology;34;Female;Master's;26;High
Mechanical Engineering;25;Male;PhD;11;Medium
Biology;35;Female;High School;32;Low
Business;26;Female;High School;13;Low
Law;57;Male;High School;17;High
Arts;23;Female;Master's;7;High
Education;59;Male;Bachelor's;8;Medium
Business;26;Female;High School;8;High
Biology;53;Female;Bachelor's;6;High
Mechanical Engineering;22;Male;Master's;27;High
Education;44;Female;Bachelor's;26;Medium
Mechanical Engineering;23;Female;High School;9;Medium
Law;42;Male;PhD;34;Medium
Business;34;Female;PhD;19;High
Medicine;24;Male;Master's;15;Low
Arts;50;Male;Bachelor's;33;None
Psychology;42;Female;High School;30;Medium
Mechanical Engineering;43;Male;High School;3;Low
Psychology;22;Male;Master's;27;Low
Law;21;Male;Master's;38;High
Law;29;Female;Bachelor's;0;Medium
Education;30;Female;Master's;22;High
Psychology;22;Female;Master's;21;Low
Computer Science;23;Female;Bachelor's;7;None
Business;50;Female;High School;32;Low
Mechanical Engineering;48;Male;PhD;30;Medium
Business;55;Female;Bachelor's;2;Medium
Education;51;Female;PhD;18;Low
Business;35;Female;Master's;27;None
Medicine;36;Female;High School;11;Low
Computer Science;59;Female;PhD;8;None
Mechanical Engineering;51;Female;Master's;34;Medium
Education;26;Male;Master's;32;None
Computer Science;30;Female;Bachelor's;12;None
Economics;57;Female;High School;4;Low
Biology;20;Female;Master's;2;None
Business;21;Female;High School;28;High
Business;30;Male;Bachelor's;7;Medium
Computer Science;34;Female;Bachelor's;34;High
Business;41;Male;PhD;31;Medium
Biology;58;Female;High School;31;Medium
Medicine;28;Female;PhD;36;Low
Economics;31;Male;Master's;18;High
Biology;26;Female;High School;34;Medium
Computer Science;37;Male;Master's;22;Medium
Biology;59;Male;High School;14;None
Computer Science;22;Male;Master's;24;Medium
Business;54;Male;High School;27;Low
Medicine;22;Male;Bachelor's;17;High
Biology;51;Male;PhD;1;High
Mechanical Engineering;35;Female;Master's;16;Medium
Education;30;Female;High School;9;Low
Economics;38;Male;Bachelor's;6;Medium
Arts;26;Male;Master's;19;Low
Business;33;Male;Master's;0;None
Medicine;36;Male;Master's;3;Low
Law;24;Male;Bachelor's;38;High
Law;34;Male;High School;22;High
Business;26;Male;PhD;8;None
Education;29;Male;High School;1;None
Biology;41;Male;PhD;4;None
Psychology;28;Female;PhD;29;Low
Psychology;56;Female;Master's;9;None
Business;36;Male;High School;39;High
Medicine;46;Female;High School;5;Low
Economics;47;Male;Master's;16;Medium
Business;33;Male;High School;27;Medium
Business;34;Female;PhD;20;Medium
Business;44;Male;High School;8;Medium
Law;40;Female;Bachelor's;26;High
Mechanical Engineering;28;Female;PhD;23;High
Biology;20;Female;Master's;19;High
Law;51;Male;Master's;21;Low
Psychology;22;Male;PhD;37;High
Business;42;Male;High School;18;High
Medicine;59;Male;PhD;28;None
Mechanical Engineering;31;Female;Master's;7;High
Business;59;Female;Bachelor's;22;Low
Biology;53;Female;Bachelor's;5;High
Economics;52;Male;Bachelor's;11;High
Law;24;Female;PhD;33;Low
Medicine;38;Female;Bachelor's;17;High
Education;54;Female;PhD;26;Low
Education;32;Male;PhD;37;High
Education;47;Male;Master's;5;Medium
Economics;49;Female;PhD;31;Low
Medicine;41;Female;PhD;38;None
Psychology;37;Male;Bachelor's;21;High
Economics;29;Female;PhD;23;High
Arts;22;Female;High School;39;Low
Computer Science;20;Female;High School;17;High
Medicine;47;Male;Bachelor's;24;High
Biology;56;Male;Bachelor's;5;Low
Biology;52;Female;High School;38;None
Law;49;Male;High School;22;None
Computer Science;54;Male;PhD;27;Medium
Mechanical Engineering;32;Male;Master's;2;None
Computer Science;30;Female;Bachelor's;36;Low
Medicine;32;Male;Master's;18;None
Business;36;Female;High School;39;Low
Mechanical Engineering;41;Male;Bachelor's;13;Medium
Education;39;Male;PhD;30;Medium
Business;58;Male;PhD;26;High
Psychology;45;Female;Bachelor's;34;None
Law;52;Female;Bachelor's;1;None
Mechanical Engineering;48;Female;PhD;12;Medium
Computer Science;30;Male;Master's;10;None
Medicine;49;Male;PhD;33;None
Computer Science;35;Female;Master's;33;None
Education;31;Male;Master's;27;None
Medicine;25;Male;Bachelor's;29;None
Computer Science;58;Male;Master's;26;Medium
Mechanical Engineering;31;Female;High School;2;None
Economics;58;Female;PhD;20;None
Mechanical Engineering;41;Male;Bachelor's;31;Low
Law;20;Male;PhD;8;Medium
Business;31;Female;High School;19;Medium
Economics;54;Female;Master's;37;None
Mechanical Engineering;20;Female;High School;28;Low
Economics;27;Male;Bachelor's;7;High
Law;43;Female;Master's;2;High
Economics;53;Male;Master's;31;Low
Business;57;Male;Bachelor's;29;None
Economics;59;Male;Bachelor's;9;None
Education;26;Female;High School;21;None
Arts;30;Male;High School;5;High
Economics;50;Male;High School;26;High
Economics;49;Male;PhD;35;Medium
Psychology;55;Male;PhD;8;Low
Education;52;Female;PhD;9;High
Computer Science;31;Male;PhD;29;Medium
Economics;30;Female;PhD;7;High
Education;49;Male;High School;15;Medium
Education;36;Male;PhD;19;Medium
Biology;59;Male;Bachelor's;22;High
Economics;54;Female;Bachelor's;12;Low
Business;26;Female;PhD;8;Medium
Mechanical Engineering;51;Female;High School;0;Medium
Computer Science;30;Male;High School;7;None
Mechanical Engineering;42;Male;PhD;8;High
Medicine;59;Male;Bachelor's;4;High
Computer Science;25;Male;High School;15;None
Arts;38;Male;PhD;14;Low
Medicine;26;Male;High School;19;None
Law;56;Male;PhD;0;Medium
Computer Science;34;Female;Bachelor's;33;High
Mechanical Engineering;41;Male;Master's;25;Medium
Mechanical Engineering;22;Male;PhD;21;None
Business;23;Male;High School;5;Medium
Computer Science;33;Female;High School;0;High
Arts;46;Male;High School;26;Medium
Psychology;22;Male;Master's;6;High
Education;52;Male;PhD;18;Low
Arts;22;Female;PhD;14;High
Medicine;55;Female;PhD;11;Medium
Business;23;Male;Master's;37;Medium
Law;38;Female;High School;31;Low
Education;26;Male;Bachelor's;28;Low
Psychology;55;Male;Bachelor's;38;Medium
Business;52;Female;PhD;31;Medium
